name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Central Park, New York, NY 10021, United States",2023-09-20,74,60,66.5,74,60,66.5,49,54.4,0,0,0,,0,0,10.3,9.2,298.8,1019.8,11.3,10.1,227.5,19.6,7,10,2023-09-20T06:41:13,2023-09-20T18:56:57,0.2,Clear,Clear conditions throughout the day.,clear-day,remote
"Central Park, New York, NY 10021, United States",2023-09-21,72.9,58,64.9,72.9,58,64.9,49.2,58.2,0,0,0,,0,0,19.5,9.2,17.7,1023.7,18.3,10.1,238.5,20.6,8,10,2023-09-21T06:42:12,2023-09-21T18:55:15,0.23,Clear,Clear conditions throughout the day.,clear-day,remote
"Central Park, New York, NY 10021, United States",2023-09-22,71,58.9,64.6,71,58.9,64.6,52.4,65.4,0,0,0,,0,0,21.9,15,68.6,1026.5,67.2,10.1,202,17.4,7,10,2023-09-22T06:43:11,2023-09-22T18:53:34,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
"Central Park, New York, NY 10021, United States",2023-09-23,63.1,58.9,60.5,63.1,58.9,60.5,56.3,86.8,1.486,100,66.67,rain,0,0,38,21.9,53.1,1020.5,96.8,5,19.8,1.6,1,10,2023-09-23T06:44:11,2023-09-23T18:51:52,0.3,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,remoteentral Park, New York, NY 10021, United States",2023-09-24,65,61.1,63.1,65,61.1,63.1,61.5,94.5,1.784,100,100,rain,0,0,31.1,19.5,57.4,1015.4,97.8,2.3,22,2,1,10,2023-09-24T06:45:10,2023-09-24T18:50:11,0.33,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,remote
"Central Park, New York, NY 10021, United States",2023-09-25,65,58.9,61.4,65,58.9,61.4,58.5,90.4,1.701,100,91.67,rain,0,0,28.9,23,43.3,1017.9,99.5,2.5,9.5,0.9,0,10,2023-09-25T06:46:10,2023-09-25T18:48:29,0.37,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,remote
"Central Park, New York, NY 10021, United States",2023-09-26,61.1,58,59.2,61.1,58,59.2,54.3,84.1,0.405,100,45.83,rain,0,0,26.4,15,47.8,1026,90.2,7.5,32.5,2.8,1,10,2023-09-26T06:47:10,2023-09-26T18:46:48,0.4,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,remote
"Central Park, New York, NY 10021, United States",2023-09-27,65.9,52.1,59,65.9,52.1,59,48.2,68.3,0,0,0,,0,0,18.3,11.4,55.2,1026.4,41.1,10.1,187.4,16.3,6,10,2023-09-27T06:48:10,2023-09-27T18:45:07,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
"Central Park, New York, NY 10021, United States",2023-09-28,65,54.9,60.4,65,54.9,60.4,54.1,80,0.22,100,12.5,rain,0,0,18.3,11.4,54.9,1024.4,77.8,9.3,57.9,5,2,10,2023-09-28T06:49:11,2023-09-28T18:43:26,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,remote
"Central Park, New York, NY 10021, United States",2023-09-29,62,58.9,60.3,62,58.9,60.3,58.5,93.9,9.325,100,100,rain,0,0,25.3,15,45.5,1021.2,99.4,2.3,10.8,0.9,1,10,2023-09-29T06:50:11,2023-09-29T18:41:46,0.5,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,remote
"Central Park, New York, NY 10021, United States",2023-09-30,65.9,58.9,61.7,65.9,58.9,61.7,57,85,0.975,100,37.5,rain,0,0,24.2,12.8,19.5,1021.1,83,6.5,80.6,6.9,3,10,2023-09-30T06:51:12,2023-09-30T18:40:05,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
"Central Park, New York, NY 10021, United States",2023-10-01,74.9,58.9,67.5,74.9,58.9,67.5,55.4,66.8,0,0,0,,0,0,16.1,10.3,2.3,1020.9,11.2,10.1,206.8,17.8,7,10,2023-10-01T06:52:13,2023-10-01T18:38:25,0.57,Clear,Clear conditions throughout the day.,clear-day,remote
"Central Park, New York, NY 10021, United States",2023-10-02,76.9,63.1,69.2,76.9,63.1,69.2,57.5,67.3,0,0,0,,0,0,10.3,9.2,25.1,1021.4,14.6,10.1,196.4,17,7,10,2023-10-02T06:53:14,2023-10-02T18:36:46,0.61,Clear,Clear conditions throughout the day.,clear-day,remote
"Central Park, New York, NY 10021, United States",2023-10-03,79.1,62,70.2,79.1,62,70.2,57.9,66.5,0,0,0,,0,0,8.1,5.8,231.4,1020.7,8.3,10.1,190.3,16.5,6,10,2023-10-03T06:54:15,2023-10-03T18:35:07,0.64,Clear,Clear conditions throughout the day.,clear-day,remote
"Central Park, New York, NY 10021, United States",2023-10-04,83.9,67,73.1,84.3,67,73.2,61.4,68,0,0,0,,0,0,9.2,6.9,151.7,1021,3.5,10.1,195.3,16.9,6,10,2023-10-04T06:55:17,2023-10-04T18:33:28,0.67,Clear,Clear conditions throughout the day.,clear-day,remote
"Central Park, New York, NY 10021, United States",2023-10-05,74.9,62,67.8,74.9,62,67.8,60,76.6,0,0,0,,0,0,10.3,8.1,138.5,1022.1,36.7,9.8,191.5,16.7,7,10,2023-10-05T06:56:19,2023-10-05T18:31:49,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
"Central Park, New York, NY 10021, United States",2023-10-06,72.1,65,68.2,72.1,65,68.2,65.2,90.7,0.252,100,16.67,rain,0,0,13.9,10.3,120.4,1016.3,92,3.8,69.7,6.1,2,10,2023-10-06T06:57:21,2023-10-06T18:30:12,0.75,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,remote
"Central Park, New York, NY 10021, United States",2023-10-07,69,56.9,64.2,69,56.9,64.2,60.3,87.8,3.133,100,83.33,rain,0,0,28.9,16.1,320.5,1006.3,89,4.8,36,3.1,2,10,2023-10-07T06:58:23,2023-10-07T18:28:34,0.77,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
"Central Park, New York, NY 10021, United States",2023-10-08,61.1,51,55.8,61.1,51,55.8,43,62.8,0,0,0,,0,0,23,15,264.5,1004.8,37.4,10.1,194.1,16.7,6,10,2023-10-08T06:59:26,2023-10-08T18:26:57,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
